fid,title,description,category,price,length,rating,actors
730,RIDGEMONT SUBMARINE,A Unbelieveable Drama of a Waitress And a Composer who must Sink a Mad Cow in Ancient Japan,New,0.99,46,PG-13,"JohnnyLollobrigida, JulianneDench, WhoopiHurt, MichaelBolger, JuliaFawcett"
892,TITANIC BOONDOCK,A Brilliant Reflection of a Feminist And a Dog who must Fight a Boy in A Baloon Factory,Animation,4.99,104,R,"BetteNicholson, DanHarris, PenelopeCronyn, WarrenNolte, JulianneDench, EwanGooding, JayneNolte, GeoffreyHeston, WillWilson, OlympiaPfeiffer, MatthewCarrey, MaryKeitel"
286,ENOUGH RAGING,A Astounding Character Study of a Boat And a Secret Agent who must Find a Mad Cow in The Sahara Desert,Travel,2.99,158,NC-17,"JohnnyLollobrigida, SandraPeck, SeanWilliams, JulianneDench, KevinGarland, RichardPenn, AlGarland, MatthewCarrey, MichaelBolger"
857,STRICTLY SCARFACE,A Touching Reflection of a Crocodile And a Dog who must Chase a Hunter in An Abandoned Fun House,Comedy,2.99,144,PG-13,"GregChaplin, DarylCrawford, WhoopiHurt, AlanDreyfuss"
593,MONTEREY LABYRINTH,A Awe-Inspiring Drama of a Monkey And a Composer who must Escape a Feminist in A U-Boat,Horror,0.99,158,G,"KarlBerry, JuliaMcqueen, DanHarris, JulianneDench, FayWood, RockDukakis"
664,PATRIOT ROMAN,A Taut Saga of a Robot And a Database Administrator who must Challenge a Astronaut in California,Action,2.99,65,PG,"CarmenHunt, AlbertNolte, KimAllen, ReneeBall"
211,DARLING BREAKING,A Brilliant Documentary of a Astronaut And a Squirrel who must Succumb a Student in The Gulf of Mexico,Games,4.99,165,PG-13,"FrancesDay-lewis, JayneNeeson"
932,VALLEY PACKER,A Astounding Documentary of a Astronaut And a Boy who must Outrace a Sumo Wrestler in Berlin,Comedy,0.99,73,G,"TomMiranda, CameronWray, BenWillis, SusanDavis"
550,MAGUIRE APACHE,A Fast-Paced Reflection of a Waitress And a Hunter who must Defeat a Forensic Psychologist in A Baloon,Family,2.99,74,NC-17,"NickWahlberg, SeanWilliams, ReneeTracy, AlanDreyfuss"
504,KWAI HOMEWARD,A Amazing Drama of a Car And a Squirrel who must Pursue a Car in Soviet Georgia,Drama,0.99,46,PG-13,"NatalieHopkins, MichelleMcconaughey, JadaRyder, AngelaWitherspoon, FayWood"
580,MINE TITANS,A Amazing Yarn of a Robot And a Womanizer who must Discover a Forensic Psychologist in Berlin,New,4.99,166,PG-13,"NickDegeneres, HumphreyGarland"
982,WOMEN DORADO,A Insightful Documentary of a Waitress And a Butler who must Vanquish a Composer in Australia,Action,0.99,126,R,"NickStallone, ChristopherBerry, EllenPresley, JimMostel, MichaelBening"
315,FINDING ANACONDA,A Fateful Tale of a Database Administrator And a Girl who must Battle a Squirrel in New Orleans,Family,0.99,156,R,"FrancesDay-lewis, RipWinslet, MatthewLeigh, SidneyCrowe, CubaBirch"
992,WRATH MILE,A Intrepid Reflection of a Technical Writer And a Hunter who must Defeat a Sumo Wrestler in A Monastery,Documentary,0.99,176,NC-17,"SpencerDepp, CateHarris, RussellTemple, KennethHoffman"
358,GILMORE BOILED,A Unbelieveable Documentary of a Boat And a Husband who must Succumb a Student in A U-Boat,Classics,0.99,163,R,"WoodyHoffman, MenaTemple, MegHawke, CateHarris, MenaHopper, BurtTemple"
781,SEVEN SWARM,A Unbelieveable Character Study of a Dog And a Mad Cow who must Kill a Monkey in Berlin,Games,4.99,127,R,"CameronStreep, DanHarris, CameronWray, AngelinaAstaire, GinaDegeneres, EdMansfield, JayneSilverstone"
395,HANDICAP BOONDOCK,A Beautiful Display of a Pioneer And a Squirrel who must Vanquish a Sumo Wrestler in Soviet Georgia,Action,0.99,108,R,"ZeroCage, GaryPhoenix, ReneeTracy, AlbertNolte, CateHarris, AlGarland, MaryKeitel"
829,SPINAL ROCKY,A Lacklusture Epistle of a Sumo Wrestler And a Squirrel who must Defeat a Explorer in California,Family,2.99,138,PG-13,"CameronStreep, ParkerGoldberg, NatalieHopkins, MaryTandy, ChristopherBerry, ChrisBridges, RussellBacall, CateHarris"
310,FEVER EMPIRE,A Insightful Panorama of a Cat And a Boat who must Defeat a Boat in The Gulf of Mexico,Games,4.99,158,R,"HelenVoight, FayWinslet, AudreyBailey"
868,SUPERFLY TRIP,A Beautiful Saga of a Lumberjack And a Teacher who must Build a Technical Writer in An Abandoned Fun House,Travel,0.99,114,PG,"JohnnyCage, DanHarris, SeanGuiness, WarrenJackman, RichardPenn, MenaHopper, MatthewCarrey"
120,CARIBBEAN LIBERTY,A Fanciful Tale of a Pioneer And a Technical Writer who must Outgun a Pioneer in A Shark Tank,Sports,4.99,92,NC-17,"BenWillis, EllenPresley, ChrisBridges, SusanDavis, JaneJackman, KimAllen, HarveyHope, LaurenceBullock"
690,POND SEATTLE,A Stunning Drama of a Teacher And a Boat who must Battle a Feminist in Ancient China,Animation,2.99,185,PG-13,"DarylWahlberg, GeneHopkins, RiverDean"
958,WARDROBE PHANTOM,A Action-Packed Display of a Mad Cow And a Astronaut who must Kill a Car in Ancient India,Drama,2.99,178,G,"NickWahlberg, KirkJovovich, AngelinaAstaire, WalterTorn, WarrenNolte, RiverDean, GregoryGooding, ThoraTemple"
222,DESERT POSEIDON,A Brilliant Documentary of a Butler And a Frisbee who must Build a Astronaut in New Orleans,Horror,4.99,64,R,"GoldieBrody, HenryBerry, BurtPosey, LizaBergman, ReneeBall"
367,GOLDMINE TYCOON,A Brilliant Epistle of a Composer And a Frisbee who must Conquer a Husband in The Outback,Sci-Fi,0.99,153,R,"SandraKilmer, MaeHoffman, AlbertNolte, DarylCrawford, GeoffreyHeston, HumphreyWillis, JohnSuvari"
855,STREAK RIDGEMONT,A Astounding Character Study of a Hunter And a Waitress who must Sink a Man in New Orleans,Documentary,0.99,132,PG-13,"SandraKilmer, SeanGuiness, DarylWahlberg"
