payment_id,customer_id,staff_id,rental_id,amount,payment_date
10001,370,2,4400,7.99,2005-07-07 21:22:26.000
10002,370,2,6714,0.99,2005-07-12 13:29:06.000
10003,370,1,6968,0.99,2005-07-27 00:16:45.000
10004,370,2,7152,7.99,2005-07-27 07:15:01.000
10005,370,1,7226,6.99,2005-07-27 09:47:53.000
10006,370,2,7797,0.99,2005-07-28 07:41:07.000
10007,370,2,8258,0.99,2005-07-29 01:03:42.000
10008,370,2,10095,0.99,2005-07-31 20:38:35.000
10009,370,1,10336,4.99,2005-08-01 04:59:53.000
10010,370,1,11540,1.99,2005-08-17 00:48:03.000
10011,370,2,11925,0.99,2005-08-17 16:23:04.000
10012,370,1,12339,4.99,2005-08-18 07:05:06.000
10013,370,1,13039,0.99,2005-08-19 08:55:19.000
10014,370,1,14602,3.99,2005-08-21 17:48:49.000
10015,370,2,14786,2.99,2005-08-22 00:24:42.000
10016,370,2,15368,3.99,2005-08-22 21:57:15.000
10017,370,1,15626,4.99,2005-08-23 07:25:34.000
10018,370,1,15982,5.99,2005-08-23 20:13:31.000
10019,371,1,26,3.99,2005-05-25 03:36:50.000
10020,371,2,286,6.99,2005-05-26 19:44:51.000
10021,371,2,381,4.99,2005-05-27 09:43:25.000
10022,371,1,384,5.99,2005-05-27 10:18:20.000
10023,371,1,825,0.99,2005-05-29 21:49:41.000
10024,371,1,829,2.99,2005-05-29 22:16:42.000
10025,371,2,1212,2.99,2005-06-15 03:03:33.000
10026,371,1,1218,1.99,2005-06-15 03:24:44.000
10027,371,1,1573,6.99,2005-06-16 03:31:39.000
10028,371,2,1675,5.99,2005-06-16 11:04:47.000
10029,371,2,2837,0.99,2005-06-19 22:03:50.000
10030,371,1,3176,3.99,2005-06-20 22:31:54.000
10031,371,2,3396,0.99,2005-06-21 15:23:08.000
10032,371,2,4115,8.99,2005-07-07 06:52:23.000
10033,371,1,4612,1.99,2005-07-08 07:40:44.000
10034,371,1,5171,4.99,2005-07-09 09:26:55.000
10035,371,2,5614,0.99,2005-07-10 05:16:56.000
10036,371,1,6000,2.99,2005-07-11 01:23:06.000
10037,371,1,6460,1.99,2005-07-12 01:13:44.000
10038,371,1,6922,0.99,2005-07-12 22:39:48.000
10039,371,1,7408,3.99,2005-07-27 16:31:40.000
10040,371,1,8138,4.99,2005-07-28 20:12:17.000
10041,371,1,9008,4.99,2005-07-30 05:10:26.000
10042,371,1,9117,8.99,2005-07-30 09:20:59.000
10043,371,1,9635,0.99,2005-07-31 05:12:27.000
10044,371,1,11086,10.99,2005-08-02 07:38:44.000
10045,371,2,12397,9.99,2005-08-18 09:12:52.000
10046,371,2,12584,7.99,2005-08-18 15:51:36.000
10047,371,1,13028,2.99,2005-08-19 08:27:23.000
10048,371,2,13143,3.99,2005-08-19 12:44:38.000
10049,371,1,13191,4.99,2005-08-19 14:28:48.000
10050,371,2,13953,4.99,2005-08-20 18:00:37.000
10051,371,1,14384,2.99,2005-08-21 10:02:37.000
10052,371,1,15786,0.99,2005-08-23 13:48:34.000
10053,371,1,15824,2.99,2005-08-23 15:09:17.000
10054,372,1,617,2.99,2005-05-28 15:49:14.000
10055,372,1,638,2.99,2005-05-28 18:24:43.000
10056,372,1,2315,2.99,2005-06-18 09:03:39.000
10057,372,1,2959,4.99,2005-06-20 07:07:54.000
10058,372,1,3283,3.99,2005-06-21 06:19:07.000
10059,372,1,5229,4.99,2005-07-09 12:30:18.000
10060,372,1,5314,2.99,2005-07-09 16:05:28.000
10061,372,1,5352,2.99,2005-07-09 17:54:58.000
10062,372,1,5501,6.99,2005-07-10 00:33:48.000
10063,372,2,5914,7.99,2005-07-10 21:01:12.000
10064,372,2,6692,4.99,2005-07-12 12:35:39.000
10065,372,1,7190,4.99,2005-07-27 08:36:01.000
10066,372,2,7234,5.99,2005-07-27 10:08:45.000
10067,372,2,7735,4.99,2005-07-28 05:09:56.000
10068,372,2,8009,7.99,2005-07-28 15:25:58.000
10069,372,1,8059,2.99,2005-07-28 17:09:59.000
10070,372,1,8358,0.99,2005-07-29 05:00:58.000
10071,372,1,8724,0.99,2005-07-29 18:05:21.000
10072,372,1,8755,2.99,2005-07-29 19:18:31.000
10073,372,2,8837,8.99,2005-07-29 22:49:00.000
10074,372,1,9128,5.99,2005-07-30 09:51:14.000
10075,372,2,11134,10.99,2005-08-02 09:19:22.000
10076,372,2,11438,3.99,2005-08-02 20:21:08.000
10077,372,2,11555,4.99,2005-08-17 01:08:59.000
10078,372,1,12224,0.99,2005-08-18 02:59:09.000
10079,372,1,12714,3.99,2005-08-18 21:08:01.000
10080,372,2,13402,4.99,2005-08-19 22:16:53.000
10081,372,2,13871,8.99,2005-08-20 15:10:13.000
10082,372,2,14037,9.99,2005-08-20 21:35:58.000
10083,372,1,14211,4.99,2005-08-21 04:29:11.000
10084,372,1,14331,2.99,2005-08-21 08:29:38.000
10085,372,1,14770,1.99,2005-08-21 23:47:16.000
10086,372,2,15041,0.99,2005-08-22 09:43:18.000
10087,372,1,15563,2.99,2005-08-23 05:08:58.000
10088,373,2,257,4.99,2005-05-26 15:27:05.000
10089,373,1,1472,6.99,2005-06-15 20:54:55.000
10090,373,1,3161,2.99,2005-06-20 21:21:01.000
10091,373,2,3609,2.99,2005-07-06 05:36:22.000
10092,373,2,3667,4.99,2005-07-06 08:36:34.000
10093,373,1,4325,7.99,2005-07-07 17:59:24.000
10094,373,1,5120,5.99,2005-07-09 07:14:23.000
10095,373,1,6202,3.99,2005-07-11 12:24:25.000
10096,373,2,6311,0.99,2005-07-11 18:18:52.000
10097,373,1,6944,4.99,2005-07-26 23:34:02.000
10098,373,1,7094,0.99,2005-07-27 04:47:33.000
10099,373,2,7206,3.99,2005-07-27 09:07:05.000
10100,373,1,7615,0.99,2005-07-28 00:15:24.000
10101,373,1,8611,3.99,2005-07-29 13:26:21.000
10102,373,2,9327,8.99,2005-07-30 17:31:03.000
10103,373,1,9397,4.99,2005-07-30 20:07:29.000
10104,373,2,9480,0.99,2005-07-30 23:26:03.000
10105,373,1,9966,4.99,2005-07-31 16:26:46.000
10106,373,1,10010,6.99,2005-07-31 18:01:36.000
10107,373,1,10221,4.99,2005-08-01 01:16:50.000
10108,373,1,10758,5.99,2005-08-01 20:22:51.000
10109,373,2,11066,7.99,2005-08-02 06:58:32.000
10110,373,2,11512,7.99,2005-08-16 23:51:06.000
10111,373,2,11663,3.99,2005-08-17 05:30:19.000
10112,373,2,11976,3.99,2005-08-17 17:59:19.000
10113,373,1,12142,5.99,2005-08-18 00:04:12.000
10114,373,2,12536,5.99,2005-08-18 14:06:06.000
10115,373,1,12748,7.99,2005-08-18 22:29:05.000
10116,373,2,12780,0.99,2005-08-18 23:48:16.000
10117,373,2,13299,2.99,2005-08-19 18:46:33.000
10118,373,1,13329,3.99,2005-08-19 19:56:55.000
10119,373,2,13467,2.99,2005-08-20 00:56:44.000
10120,373,2,15014,6.99,2005-08-22 08:43:11.000
10121,373,1,15068,3.99,2005-08-22 10:50:13.000
10122,373,1,11739,0.99,2006-02-14 15:16:03.000
10123,374,1,521,0.99,2005-05-28 03:32:22.000
10124,374,2,910,2.99,2005-05-30 10:46:16.000
10125,374,2,919,0.99,2005-05-30 11:35:06.000
10126,374,1,1548,1.99,2005-06-16 01:43:33.000
10127,374,2,2046,1.99,2005-06-17 14:39:50.000
10128,374,2,2487,4.99,2005-06-18 21:32:54.000
10129,374,2,2641,2.99,2005-06-19 09:38:33.000
10130,374,1,3797,1.99,2005-07-06 14:54:52.000
10131,374,1,5463,4.99,2005-07-09 22:57:02.000
10132,374,1,5570,6.99,2005-07-10 03:46:47.000
10133,374,2,5591,3.99,2005-07-10 04:25:03.000
10134,374,2,5945,2.99,2005-07-10 22:52:42.000
10135,374,2,6315,0.99,2005-07-11 18:42:49.000
10136,374,2,7837,0.99,2005-07-28 08:58:32.000
10137,374,2,8586,7.99,2005-07-29 12:16:34.000
10138,374,2,9113,0.99,2005-07-30 09:09:03.000
10139,374,1,9866,6.99,2005-07-31 13:13:50.000
10140,374,1,10695,2.99,2005-08-01 18:16:20.000
10141,374,1,11619,0.99,2005-08-17 04:03:26.000
10142,374,2,12696,2.99,2005-08-18 20:13:08.000
10143,374,1,13337,2.99,2005-08-19 20:06:57.000
10144,374,2,13734,4.99,2005-08-20 10:29:57.000
10145,374,2,14524,8.99,2005-08-21 15:05:27.000
10146,374,2,15053,5.99,2005-08-22 10:13:09.000
10147,374,1,15200,2.99,2005-08-22 16:22:53.000
10148,374,2,15202,4.99,2005-08-22 16:26:53.000
10149,374,2,15366,6.99,2005-08-22 21:45:57.000
10150,374,2,15966,2.99,2006-02-14 15:16:03.000
10151,375,2,307,8.99,2005-05-26 21:48:13.000
10152,375,1,412,4.99,2005-05-27 14:17:23.000
10153,375,2,749,4.99,2005-05-29 09:33:33.000
10154,375,1,873,2.99,2005-05-30 05:15:20.000
10155,375,2,1404,2.99,2005-06-15 16:38:53.000
10156,375,1,1499,5.99,2005-06-15 21:58:07.000
10157,375,1,2236,4.99,2005-06-18 04:12:33.000
10158,375,1,3981,6.99,2005-07-06 23:12:12.000
10159,375,2,4335,4.99,2005-07-07 18:33:57.000
10160,375,2,5474,2.99,2005-07-09 23:23:57.000
10161,375,1,7856,4.99,2005-07-28 09:48:24.000
10162,375,2,8900,2.99,2005-07-30 01:07:03.000
